address,total_block_reward,lock_hash,mainnet_token_reward
ckt1q9gry5zg97fme45jpsgxmftxwjndcql3t64w7fxvahsql3,9905907728259,0x80841fa8e1ff1aa3f22a0ca95a5d5be38ccec64f51ac4bb05964ec52a4fe1c58,1916
ckt1q9gry5zgkj9uk5aksk0puv3dr60qp7rg60ghk4c0dpvk83,9283816086662,0x40bbef7c066056068edf083b4207337535c7e926d820209f671833d6fcbdec96,1795
ckt1q9gry5zgy24vhvrf35uh3aqtaqzwcmkpttg29arnazlys7,9165132042665,0xd37ade1e9cb62ad676cb57587d929e56332598a583f53c45a282eadbb2fe74cb,1772
ckt1q9gry5zg4plac7eqe2dp9y2mskfe8qg0krunp0gc3apk3m,9153933226312,0xb771af9e96c35d72e6b7cd8835369411ac12abec9e938926e388aca4351149d8,1770
ckt1q9gry5zg0kr9sz65rwep64tq8n66du6vj59s6xrxlplyu8,9085016599379,0x133a6b97872703a302a545f3813629dea0a2ef63c2af7f3be981ee602cc5b0f5,1757
ckt1q9gry5zgchvsjh95xzane9395sfg6qlp77dvmk86j9564w,8851990970693,0xb77ed4c03a89454321590fe4259e7aaf488ea1d8afc7edf602928f45dd7c96c2,1712
ckt1q9gry5zg3majfvvzj2rcyddg6jgkhq69525nh08uxu9wg5,8163758769641,0xae18a00006fb885dec989910e8f89afd547fbb7c0bd571252a4fa109059a1b7a,1579
ckt1q9gry5zg30thde6pzcl5jzqusck80zenangw055qsjlzxs,7988417335064,0xf31ba7e0594f6fd3ddcf67b32aea79c629cfaa77840be2cced1b88e26b9cdecb,1545
ckt1q9gry5zg28tnpawtg9tann0cqs2m8jaaas8tf4vx6tcpgd,7677148688690,0x1eff49911361aea9ce45e1b8e4003c0654220f8c5ed512980c53468a04a0fd96,1484
ckt1q9gry5zgw232dxswlc46r7pl25xlpusrr56umrc6yxyhkq,6835022095867,0x60e82242d246ab0ab43bcd4211f2aa5b05dd33c51b37f282fae82eda9cccfa2d,1322
ckt1q9gry5zgvq5anym02clxt3dm4p7e9nt683lg4pyjpafwf5,5858264087500,0x8ac5bd17440a06112005a0cf701864ed08bc2335d09419adc4ea47ed970811aa,1133
ckt1q9gry5zgzax7z6gkkm8gmq7wcr86txdvp52ekyvts9jeza,5775821387718,0x58f86269d7e8324f7a5c5519f146ce68a995524b03e96ec8dd44c835d3ec6b7a,1117
ckt1q9gry5zgtw2ahczgxsf330pmzu7hq5lryl96j0z2235asv,4969503471604,0x2d5c070d8d218e885ed66332c6b9817c851dff3b9cebb152f6873c67f3084fc8,961
ckt1q9gry5zghj88xva8akxlycd8frf6jp36ql7dqzwq5xpkhp,4785098272446,0xddb80063ac9adb59f0976ca652e5b9d483b5691c12204a60adf903c550579d9c,925
ckt1q9gry5zglf4wzfps4mh5j80qlhgaem904v2f3atku60c45,4433295888293,0x2cf0fc44ea017633b774538f40ad2c9f56056806ae1a83213fb82eea7673a484,857
ckt1q9gry5zgj4sdagwvwq3dct7mclaaafvnkpj9977fguu589,4043925340602,0xc439ff3c050ae96abbccd03114e5f024b13b554b3968e6197ac5c8b6ce69cc75,782
ckt1q9gry5zgd886yup3qqpptj4a8ctqhhmne9jrv0auw4y4y8,3929167072058,0x4e43b4ddea831ef4e0c45c2d524937bcc005922c40c33cb39c662c96d302c306,759
ckt1q9gry5zga3ad8jejqjcvdjf739k76uj47vzvxmh83xmjtp,3772899290951,0xf2067273de51de6316d7ea72f5e9f451cb2dda30f7abad4cb1095feb0f17cd99,729
ckt1q9gry5zg2wsx5sdv0t9kj2759nkh0yv9p2s7v2ql7lns6w,3674389910982,0x7d04a133d0b9142a89241312a0a0e571b430e9ff6e93e6ff2379c29879fb3329,710
ckt1q9gry5zgswh5t6pkt5duzj33qa3u648jhhe4cxe23g6k8x,3555841855571,0x0162f50af8964be1504df0e4197d253731068ad1aa1ca10af7762c2a16364ea5,687
ckt1q9gry5zgx72xm83ukkjp28eg2h96l5qspats5u4php2ecd,3552477056508,0xaac208276042ff752b1af7742cac599cdb247c7662caa6a2929255eaca6b189b,687
ckt1q9gry5zgvm59tjcmmcvkn2lmuqgfzcgfg3ccnvyk3nej2k,3478499892363,0x5feb6df65e4519197b304f4bd5a0b49475ea1248c371553d752346b5a1310070,672
ckt1q9gry5zg5a80nvswqa0srd3zuxxllc2qzxlmt3cwytufne,3207268753355,0x6535735229be627fc611467b5403712fdea5e6d3f9e0127c3f954942a42b5cb5,620
ckt1q9gry5zghwtcn72spc9wtz4sq7qgvdyqxv90syxcpgky49,3172693368166,0x889105f8376ad50516fd9d8c38c7477849846e15829aae3a910a8c8d332fa467,613
ckt1q9gry5zgughh7wzcxzn4u59t0lzl6np4ky60r6ztpw69rl,3028266222970,0xba2e8c0c8c39a58a606d1e1ca668c60f4b5289f3a02b23920b6762afde6b45c1,585
ckt1q9gry5zgzq0j490guyhlj3gfhdp9dldf24zr7ad5g6ul07,2978938915939,0xb44597d71017434af602ef1e554312ee1cb367c3689703ec38d539072ef433eb,576
ckt1q9gry5zg2hgl3caa7gfgytjpgegdx52dserje5kvkvkkqq,2874483932815,0x5fe86afbfed749c6775f9ad9ed28d755cc6e125b461a262e0662ca0cd3383a38,555
ckt1q9gry5zgxkwxkq33h5csqyls66p87tqaulghzsqg87g2xe,2859718058654,0x223a351dec525a6abe43f8aedde1e9f7dc8d1d57906e38798885ab86b3060190,553
ckt1q9gry5zgnyztg84lcujx8mfzce35520tgrl3xl78lkscz7,2664091501579,0x4f7e81428e6f681b810dfe9f85da65bb41c4bb6a924949bd5af450eb82d54649,515
ckt1q9gry5zgjl7rgssl4aaklh2szhy0rktwuhyls9wz5qqc0v,2589655926280,0x52e58e1494883c1ae545018d89711165ec25690fa6a137461e700207af0a2928,500
