address,lock_hash,total_block_reward,floor_total_block_reward
ckt1qyqwwhujw88279sp9wqhk96evwku4td940qs8kgu50,0x3878e44b92def20f426fee171495a7520f7c5f99ccc830395fa74ccb8b826492,4137319750820,1140
ckt1qyqreajww38sctuqjn24q2jnvxxrfsad2yjssugcz2,0x3dec2413e2cb0c225476ce20a6fb16d4b58a797948d1b23a092ac1a6b1099cbe,3904378198752,1075
ckt1qyqgv4g26g5aweunpu3rwzs7cfny5z9m5kmqq273g2,0xd83efffa6da27ffbd56c07fc84a4e3204590dac9e4df107ca383baa986eb85e3,3720025375582,1025
ckt1qyqtg7jh6t5dvga742769lt6nkfw7ehqgrysrnqrz5,0x21a085c6a811678b2c1939c4fed20690a493c9404dee579e086c8d940f3e93ef,3672611575815,1012
ckt1qyqgs3rhm2tfefh6laxckaglmsc0ae42c9aqekjfap,0x841c667751395b8243aee6314e6de89b9ee84e54e871a7732dfb0fbecdf44543,3647964717725,1005
ckt1qyqqxtrpkhfqy8lc0ecvswpg9d7vka809hzs49m8xx,0xba81e5c4edfd14da3896d68be704e1274efe6ef22493afdafe27d90eae662098,3425357275303,943
ckt1qyqfzmc9n8y04cruwgfaqzmssvt6wtdva4rsztj8r7,0x1c90dc38ef491102f0caeb5b5f87a2d64133af22c34985fc69f4d822699bbc16,3200026997696,881
ckt1qyqgcqg2dcg5gwyulntzww8hhxlwlhzfqzusjejk8v,0x69d919fb24e6bd8babf2b74e8c5cd6b94fc2c995ddb1a9ac980c393d92223c39,3023304229653,833
ckt1qyqyar3luwvmha83kpuw4hmawx87uwnlrwxslyuqxa,0x9357e4d523c301e17dd15e7db46aa6cec1d3138b28be37e39209971469579ed4,2910980530925,802
ckt1qyqrk5qp4fgkn4qd8qsl82q2p4vyceusxqusvnn762,0x16cdbb891026d2a90af66cfed13b8629a5d9af78673c2bb7623a9c12e56ecbce,2789467284938,768
ckt1qyqg95mft5yj8tnt08tydf9w64mcrjs7pleslez07k,0x138809eb27aebdeba76b559ff5c684ff43d722bea0c6f0e040ed1ded34f809f2,2747252747248,757
ckt1qyqth9ufl9gquzh932cq0qyxxjqrxzhczrvqs55dc2,0x85e494ea3b08a40be7610c048471c629e7bdf14f4748413170e466efead2cb53,2734450138620,753
ckt1qyqg35a5wwhdxdxjscu0v9d763s54ewf7vdsh9yhfp,0xc6da54038bd3a02e7f307ea811f221fa4ec240da7a8191ad4b1968087a1abf33,2700436828053,744
ckt1qyqtffjuvh30u9th4tgwvtdw2gjkjzuuzpqqtywwc0,0xab0302223bef751e41667628c2f98606a055f9019f31dced6b25620eee1943ea,2677682876988,737
ckt1qyqf7dtyqm73g4j42hwd4rx4zddwzgjxpp6sy5ppgc,0xe03e041849fa7d66970243091106d56b6f27fdda75a16202aa76431fac6e97e1,2649775360988,730
ckt1qyqg7wknllep58y2fa6mv5kghtn5l4e8xauqk9glaw,0xe5cc3d1725728bc376ea9a3c389ca41c75e1fa542097ed1206bd5e8fca992d0e,2576497198226,710
ckt1qyqrzcnq5tt8elz2pqe45fkhw27emkya82ysqgzyk9,0x7d1f681f7d2780b7e6de4f6018060677121be27335d52eaef74b7ce59e2cffb0,2539275929410,699
ckt1qyq05fft058g8el7gfj8c54h8twzsw3z57sqhj0jdc,0xe415d8d325da9c6ad8313ab1469b4b4df0d113045d6195e3e0037de5b250cc06,2433837075042,670
ckt1qyqg3mqpmsfm8tucyztwl43fdaxlfet5vzcqcjuv78,0x87dca4c1830e037610a9d33e8558345934756193b9a0afd6337a93179addc3ab,2278087649851,627
ckt1qyqt3qgjjcmw58r03437jye5pkq3gjdzgg0sy5ktq3,0xd8b69ab14b4a736ebabd3846a2026c1f6e923345ece25e75e0cbc4572c9834ac,2170376883067,598
ckt1qyqxcyc0yysck988k09estnmg724hd5rlj6qeekvcn,0x65c09d77b853cee899c645ae7446dda553d1996a353556393cc42ec04ccf2659,2071474772741,570
ckt1qyqtgpr9ldhlda28a9838uk5c794t2n9tedshwluxx,0xb3a2091b40c613fb14329695a8eb6036ce172e92a8fcfa0134c85d48440f6e6b,1972458107259,543
ckt1qyq9wxhn4qrclyhgqshmepuystalyfdur9rqdveagf,0x490caf55763ccad5299c1006b59abbfe8564372b1942c4c734379e2cabaa9944,1844777891459,508
ckt1qyqr8j7lf2dw7fsvzawt4k2hgua76e59k37sq62u2k,0xc0912a5f17250f81ce3d4d60f972e2e1200d2433d474fcd551ed229165f7c3d9,1836603029038,506
ckt1qyqfmwvpte84k9m5cyfpj5gser4gduwtezrssgj2yk,0xa8e6bcca8d71049a42e8f263cab1a42989b4bef40c650ac9939da67d9e408c34,1719211612421,473
ckt1qyqtzshvs6rcvj0ffxcz2ycfx7q5pm0udzuq6uvp8f,0xad22637cef9beaf0ea82a7949ad21284e749b3471da062d0c5a60aa23c703785,1713396759704,472
ckt1qyqv2m09z7hqfk57y50vqsr2yzp0fezvfmvsjlnn4n,0x23ed4e391276d249a89768b64fe2913fb5c39f3e3f1b5a21ab4969f99d560e9f,1537073381113,423
ckt1qyqgqcth5rf6dz9fqra6k08msvz92x4ju8tqhacycc,0x99cb8ffa57324b2609f48ab4a6f7aa60e73b5463866b2c573f8e423f5e8792f9,1511012258293,416
ckt1qyqv44sta2ccxmxde5ylxmjdvvydty4tqt0s60pmua,0xd369cb8af72a08cf0829e8a6b77b801bb115f7d0519cab5141798ea184e5d1a9,1424984566166,392
ckt1qyq0jctmth8ktxyuspwuhqkalgtaj33tvvrs5ul4s2,0xf606cb2a46cd154d0a55db8b8fc0bf759712f5fcbf9c9a24d6266b164e0c35e8,1409086397900,388
