address,total-block-reward,lock-hash,reward
ckt1qyqdmeuqrsrnm7e5vnrmruzmsp4m9wacf6vsmcwugu,6706765768223680.00,0xe9e412caf497c6...a9b6d1ca51eb38d07d59,6215471
ckt1qyqq5jr0hrm0uc8hduqp6cmjmfqmayghyfvsukcysf,2469748090098490.00,0xe54f1bef9ab063...252e93f287fd82559d1c,2288830
ckt1qyqfhv78ks8xyalzhntde0hjmjrusdyjxyxsw343xc,2346853747476990.00,0x5324b13b906cd4...7bf437193cfb694c1501,2174938
ckt1qyqzasa9ldqf3v20fzr42hl93ktxe2evdf3spzteh5,1833478926190250.00,0x0034bc751826a5...d7df1be89baed630ecbd,1699170
ckt1qyq2cvlfef5kt043vcsy6rrt7snae2emda9spqvj6s,1319898833597620.00,0x26f643cce511eb...42843139827eddbfc71b,1223211
ckt1qyqdmswal8qn2psmwc6u5508xh7zkq7wuvustsvyew,928944489627989.00,0x4827da5c392dce...cd90a92e8e3e5c8fc0a3,860896
ckt1qyqx6xgf8j4r6t0mwwdrdf3y4efm59jl8y8sel5vch,407586175740345.00,0xd9f7e1d733e6ba...61adfc55d6f05c9f143f,377729
ckt1qyq98fl86kcmqkdv3cf6u8pgf6f99j93q37sq8sr05,71134565727531.00,0x7afbc2b162853b...0dc16b5387aaa8ecb46d,65923
ckt1qyqfchkwy2jnncscne75ktysa9ww6dnlk8wqvjtqvc,48306892125935.00,0xb8e522eade870c...2f950907610ee782c5fb,44768
ckt1qyqwmxws34634ced7l7x7vzgklx22mpmltaq8z0m5x,28769967557495.00,0x4e9265ae20a0db...8803b58ab3daff318690,26662
ckt1qyq8p2wg2t97c8ja8dyhcl23a9gp4nug7qwqaqeuma,20545280491695.00,0xeb862b2f605c8b...a8ea7f17c765ccd05bce,19040
ckt1qyqxlzk7suxkdnl6dennf8dc904et3pqfers5fzanz,1626140990015.00,0x014a18988326ac...8ec09b47d0a956ad8070,1507
ckt1qyqv96vz5ssymn3h77unkvg55cdjadeazm9qj2dqk9,1042272824594.00,0xe21b0c612afa55...62e2427b9cc1c0f817ed,965
ckt1qyqt3xk479dmlscp8p945pz4zepr0sq8ef6sansvcc,399543378996.00,0xeb1b34703e9801...bd25d031b63da12d1fd1,370
ckt1qyqqeqypyh3mjmwuwsh70sax9mtrnluhv0vscr9c73,367396210571.00,0xfe3b681904c6f3...88f95f83ac8d76c9a7b3,340
ckt1qyqv795u9fxpfuf9yav33zhyvgtc0m7g7n2qfja0d5,188204928280.00,0x1a15e0d0d7aaf3...bfb9bf87d5265b86de14,174
